index,date,datatype,station,value,fl_miss,fl_cmiss,country,indicator
53,2010-11-01T00:00:00,TPCP,GHCND:CEM00043441,5484,0,0,Sri Lanka,TPCP
54,2010-11-01T00:00:00,TPCP,GHCND:CEM00043466,9708,0,0,Sri Lanka,TPCP
55,2010-12-01T00:00:00,TPCP,GHCND:CE000434730,2855,0,0,Sri Lanka,TPCP
56,2010-12-01T00:00:00,TPCP,GHCND:CEM00043418,6652,0,0,Sri Lanka,TPCP
57,2010-12-01T00:00:00,TPCP,GHCND:CEM00043424,3546,0,0,Sri Lanka,TPCP
58,2010-12-01T00:00:00,TPCP,GHCND:CEM00043441,3207,0,0,Sri Lanka,TPCP
59,2010-12-01T00:00:00,TPCP,GHCND:CEM00043466,2992,0,0,Sri Lanka,TPCP
60,2011-01-01T00:00:00,TPCP,GHCND:CE000434730,3137,0,0,Sri Lanka,TPCP
61,2011-01-01T00:00:00,TPCP,GHCND:CEM00043418,5747,0,0,Sri Lanka,TPCP
62,2011-01-01T00:00:00,TPCP,GHCND:CEM00043424,773,0,0,Sri Lanka,TPCP
63,2011-01-01T00:00:00,TPCP,GHCND:CEM00043441,1630,0,0,Sri Lanka,TPCP
64,2011-01-01T00:00:00,TPCP,GHCND:CEM00043466,303,0,0,Sri Lanka,TPCP
65,2011-02-01T00:00:00,TPCP,GHCND:CE000434730,2440,0,0,Sri Lanka,TPCP
66,2011-02-01T00:00:00,TPCP,GHCND:CEM00043418,4362,0,0,Sri Lanka,TPCP
67,2011-02-01T00:00:00,TPCP,GHCND:CEM00043424,955,0,0,Sri Lanka,TPCP
68,2011-02-01T00:00:00,TPCP,GHCND:CEM00043441,1736,0,0,Sri Lanka,TPCP
69,2011-02-01T00:00:00,TPCP,GHCND:CEM00043466,757,0,0,Sri Lanka,TPCP
70,2011-03-01T00:00:00,TPCP,GHCND:CE000434730,703,0,0,Sri Lanka,TPCP
71,2011-03-01T00:00:00,TPCP,GHCND:CEM00043418,218,0,0,Sri Lanka,TPCP
72,2011-03-01T00:00:00,TPCP,GHCND:CEM00043424,203,0,0,Sri Lanka,TPCP
73,2011-03-01T00:00:00,TPCP,GHCND:CEM00043441,793,0,0,Sri Lanka,TPCP
74,2011-03-01T00:00:00,TPCP,GHCND:CEM00043466,1331,0,0,Sri Lanka,TPCP
75,2011-04-01T00:00:00,TPCP,GHCND:CE000434730,1767,0,0,Sri Lanka,TPCP
76,2011-04-01T00:00:00,TPCP,GHCND:CEM00043418,1831,0,0,Sri Lanka,TPCP
77,2011-04-01T00:00:00,TPCP,GHCND:CEM00043424,1594,0,0,Sri Lanka,TPCP
78,2011-04-01T00:00:00,TPCP,GHCND:CEM00043441,6350,0,0,Sri Lanka,TPCP
79,2011-04-01T00:00:00,TPCP,GHCND:CEM00043466,3529,0,0,Sri Lanka,TPCP
80,2011-05-01T00:00:00,TPCP,GHCND:CE000434730,531,0,0,Sri Lanka,TPCP
81,2011-05-01T00:00:00,TPCP,GHCND:CEM00043418,11,0,0,Sri Lanka,TPCP
82,2011-05-01T00:00:00,TPCP,GHCND:CEM00043424,16,0,0,Sri Lanka,TPCP
83,2011-05-01T00:00:00,TPCP,GHCND:CEM00043441,2064,0,0,Sri Lanka,TPCP
84,2011-05-01T00:00:00,TPCP,GHCND:CEM00043466,1569,0,0,Sri Lanka,TPCP
85,2011-06-01T00:00:00,TPCP,GHCND:CE000434730,572,0,0,Sri Lanka,TPCP
86,2011-06-01T00:00:00,TPCP,GHCND:CEM00043418,5,0,0,Sri Lanka,TPCP
87,2011-06-01T00:00:00,TPCP,GHCND:CEM00043424,125,0,0,Sri Lanka,TPCP
88,2011-06-01T00:00:00,TPCP,GHCND:CEM00043441,910,0,0,Sri Lanka,TPCP
89,2011-06-01T00:00:00,TPCP,GHCND:CEM00043466,2040,0,0,Sri Lanka,TPCP
90,2011-07-01T00:00:00,TPCP,GHCND:CE000434730,1010,0,0,Sri Lanka,TPCP
91,2011-07-01T00:00:00,TPCP,GHCND:CEM00043418,340,0,0,Sri Lanka,TPCP
92,2011-07-01T00:00:00,TPCP,GHCND:CEM00043424,417,0,0,Sri Lanka,TPCP
93,2011-07-01T00:00:00,TPCP,GHCND:CEM00043441,365,0,0,Sri Lanka,TPCP
94,2011-07-01T00:00:00,TPCP,GHCND:CEM00043466,949,0,0,Sri Lanka,TPCP
95,2011-08-01T00:00:00,TPCP,GHCND:CE000434730,425,0,0,Sri Lanka,TPCP
96,2011-08-01T00:00:00,TPCP,GHCND:CEM00043418,655,0,0,Sri Lanka,TPCP
97,2011-08-01T00:00:00,TPCP,GHCND:CEM00043424,54,0,0,Sri Lanka,TPCP
98,2011-08-01T00:00:00,TPCP,GHCND:CEM00043441,773,0,0,Sri Lanka,TPCP
99,2011-08-01T00:00:00,TPCP,GHCND:CEM00043466,1579,0,0,Sri Lanka,TPCP
100,2011-09-01T00:00:00,TPCP,GHCND:CE000434730,813,0,0,Sri Lanka,TPCP
101,2011-09-01T00:00:00,TPCP,GHCND:CEM00043418,317,0,0,Sri Lanka,TPCP
102,2011-09-01T00:00:00,TPCP,GHCND:CEM00043424,46,0,0,Sri Lanka,TPCP
103,2011-09-01T00:00:00,TPCP,GHCND:CEM00043441,1522,0,0,Sri Lanka,TPCP
104,2011-09-01T00:00:00,TPCP,GHCND:CEM00043466,849,0,0,Sri Lanka,TPCP
105,2011-10-01T00:00:00,TPCP,GHCND:CE000434730,2576,0,0,Sri Lanka,TPCP
106,2011-10-01T00:00:00,TPCP,GHCND:CEM00043418,5090,0,0,Sri Lanka,TPCP
107,2011-10-01T00:00:00,TPCP,GHCND:CEM00043424,1729,0,0,Sri Lanka,TPCP
108,2011-10-01T00:00:00,TPCP,GHCND:CEM00043441,1533,0,0,Sri Lanka,TPCP
109,2011-10-01T00:00:00,TPCP,GHCND:CEM00043466,2154,0,0,Sri Lanka,TPCP
110,2011-11-01T00:00:00,TPCP,GHCND:CE000434730,1775,0,0,Sri Lanka,TPCP
111,2011-11-01T00:00:00,TPCP,GHCND:CEM00043418,3561,0,0,Sri Lanka,TPCP
112,2011-11-01T00:00:00,TPCP,GHCND:CEM00043424,1736,0,0,Sri Lanka,TPCP
113,2011-11-01T00:00:00,TPCP,GHCND:CEM00043441,3867,0,0,Sri Lanka,TPCP
114,2011-11-01T00:00:00,TPCP,GHCND:CEM00043466,1689,0,0,Sri Lanka,TPCP
115,2011-12-01T00:00:00,TPCP,GHCND:CE000434730,1332,0,0,Sri Lanka,TPCP
116,2011-12-01T00:00:00,TPCP,GHCND:CEM00043418,3184,0,0,Sri Lanka,TPCP
117,2011-12-01T00:00:00,TPCP,GHCND:CEM00043424,612,0,0,Sri Lanka,TPCP
118,2011-12-01T00:00:00,TPCP,GHCND:CEM00043441,716,0,0,Sri Lanka,TPCP
119,2011-12-01T00:00:00,TPCP,GHCND:CEM00043466,727,0,0,Sri Lanka,TPCP
120,2012-01-01T00:00:00,TPCP,GHCND:CE000434730,473,0,0,Sri Lanka,TPCP
121,2012-01-01T00:00:00,TPCP,GHCND:CEM00043418,127,0,0,Sri Lanka,TPCP
122,2012-01-01T00:00:00,TPCP,GHCND:CEM00043424,245,0,0,Sri Lanka,TPCP
123,2012-01-01T00:00:00,TPCP,GHCND:CEM00043441,120,0,0,Sri Lanka,TPCP
124,2012-01-01T00:00:00,TPCP,GHCND:CEM00043466,1586,0,0,Sri Lanka,TPCP
125,2012-02-01T00:00:00,TPCP,GHCND:CE000434730,922,0,0,Sri Lanka,TPCP
126,2012-02-01T00:00:00,TPCP,GHCND:CEM00043418,1552,0,0,Sri Lanka,TPCP
127,2012-02-01T00:00:00,TPCP,GHCND:CEM00043424,3103,0,0,Sri Lanka,TPCP
128,2012-02-01T00:00:00,TPCP,GHCND:CEM00043441,1435,0,0,Sri Lanka,TPCP
129,2012-02-01T00:00:00,TPCP,GHCND:CEM00043466,1340,0,0,Sri Lanka,TPCP
130,2012-03-01T00:00:00,TPCP,GHCND:CE000434730,293,0,0,Sri Lanka,TPCP
131,2012-03-01T00:00:00,TPCP,GHCND:CEM00043418,203,0,0,Sri Lanka,TPCP
132,2012-03-01T00:00:00,TPCP,GHCND:CEM00043424,740,0,0,Sri Lanka,TPCP
133,2012-03-01T00:00:00,TPCP,GHCND:CEM00043441,1009,0,0,Sri Lanka,TPCP
134,2012-03-01T00:00:00,TPCP,GHCND:CEM00043466,805,0,0,Sri Lanka,TPCP
135,2012-04-01T00:00:00,TPCP,GHCND:CE000434730,2046,0,0,Sri Lanka,TPCP
136,2012-04-01T00:00:00,TPCP,GHCND:CEM00043418,1455,0,0,Sri Lanka,TPCP
137,2012-04-01T00:00:00,TPCP,GHCND:CEM00043424,1052,0,0,Sri Lanka,TPCP
138,2012-04-01T00:00:00,TPCP,GHCND:CEM00043441,2434,0,0,Sri Lanka,TPCP
139,2012-04-01T00:00:00,TPCP,GHCND:CEM00043466,5327,0,0,Sri Lanka,TPCP
140,2012-05-01T00:00:00,TPCP,GHCND:CE000434730,155,0,0,Sri Lanka,TPCP
141,2012-05-01T00:00:00,TPCP,GHCND:CEM00043418,5,0,0,Sri Lanka,TPCP
142,2012-05-01T00:00:00,TPCP,GHCND:CEM00043424,8,0,0,Sri Lanka,TPCP
143,2012-05-01T00:00:00,TPCP,GHCND:CEM00043441,85,0,0,Sri Lanka,TPCP
144,2012-05-01T00:00:00,TPCP,GHCND:CEM00043466,1961,0,0,Sri Lanka,TPCP
145,2012-06-01T00:00:00,TPCP,GHCND:CE000434730,290,0,0,Sri Lanka,TPCP
146,2012-06-01T00:00:00,TPCP,GHCND:CEM00043418,8,0,0,Sri Lanka,TPCP
147,2012-06-01T00:00:00,TPCP,GHCND:CEM00043424,137,0,0,Sri Lanka,TPCP
148,2012-06-01T00:00:00,TPCP,GHCND:CEM00043441,1299,0,0,Sri Lanka,TPCP
149,2012-06-01T00:00:00,TPCP,GHCND:CEM00043466,957,0,0,Sri Lanka,TPCP
150,2012-07-01T00:00:00,TPCP,GHCND:CE000434730,926,0,0,Sri Lanka,TPCP
151,2012-07-01T00:00:00,TPCP,GHCND:CEM00043418,145,0,0,Sri Lanka,TPCP
152,2012-07-01T00:00:00,TPCP,GHCND:CEM00043424,3,0,0,Sri Lanka,TPCP
153,2012-07-01T00:00:00,TPCP,GHCND:CEM00043441,664,0,0,Sri Lanka,TPCP
154,2012-07-01T00:00:00,TPCP,GHCND:CEM00043466,434,0,0,Sri Lanka,TPCP
155,2012-08-01T00:00:00,TPCP,GHCND:CE000434730,778,0,0,Sri Lanka,TPCP
156,2012-08-01T00:00:00,TPCP,GHCND:CEM00043418,0,0,0,Sri Lanka,TPCP
157,2012-08-01T00:00:00,TPCP,GHCND:CEM00043424,168,0,0,Sri Lanka,TPCP
158,2012-08-01T00:00:00,TPCP,GHCND:CEM00043441,989,0,0,Sri Lanka,TPCP
159,2012-08-01T00:00:00,TPCP,GHCND:CEM00043466,1836,0,0,Sri Lanka,TPCP
160,2012-09-01T00:00:00,TPCP,GHCND:CE000434730,547,0,0,Sri Lanka,TPCP
